@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
668,'2026/06/17 13:21:40:837',9,16.538126,44.554096,15.612747,0,0,9.719445,0,0,1,0,0,0,0,0
669,'2026/06/17 13:21:40:884',9,17.185698,39.433285,19.906317,0,0,8.354617,0,0,1,0,0,0,0,0
670,'2026/06/17 13:21:40:930',9,16.027597,41.972103,17.137846,0,0,6.908911,0,0,1,0,0,0,0,0
671,'2026/06/17 13:21:40:965',9,18.999029,39.350784,17.242945,0,0,2.138894,0,0,1,0,0,0,0,0
672,'2026/06/17 13:21:41:023',9,16.412504,45.766727,17.282738,0,0,11.44119,0,0,1,0,0,0,0,0
673,'2026/06/17 13:21:41:075',9,15.641152,46.221825,19.091925,0,0,12.982593,0,0,1,0,0,0,0,0
674,'2026/06/17 13:21:41:113',9,20.77796,43.354019,17.27755,0,0,9.213121,0,0,1,0,0,0,0,0
675,'2026/06/17 13:21:41:162',9,19.683407,41.662193,17.296349,0,0,9.316126,0,0,1,0,0,0,0,0
676,'2026/06/17 13:21:41:218',9,16.135162,45.133396,17.559299,0,0,10.716945,0,0,1,0,0,0,0,0
677,'2026/06/17 13:21:41:256',9,20.068493,43.763794,16.966032,0,0,11.00325,0,0,1,0,0,0,0,0
678,'2026/06/17 13:21:41:301',9,21.642046,45.285675,17.45623,0,0,10.728039,0,0,1,0,0,0,0,0
679,'2026/06/17 13:21:41:346',9,20.067383,47.176662,14.812204,0,0,11.7764,0,0,1,0,0,0,0,0
