@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
32,'2026/06/17 14:41:26:142',3,26.422489,0,0,0,0,0,0,0,11.500343,0,0.16897,2.932572,7.503419,0,0,0,6.028332,0,2.347066,0,0,0,0,0,0,0,0.001399,1.954128,0,0,2
33,'2026/06/17 14:41:26:175',3,34.409206,0,0,0,0,0,0,0,7.36099,0,0,4.177498,5.130295,3.389925,1.57968,0,2.453357,0.791187,0.504902,0,2.026523,0,0.77108,0,0,0,0,2.124968,0,0,2
34,'2026/06/17 14:41:26:238',3,29.428921,0,0,0,0,0,0,0,8.461848,2.781312,0,3.419101,1.675158,3.961464,1.974821,3.403868,0.672284,0,0,0.332295,0,0,4.630208,0.257052,0,0.296148,0,2.851396,0,0,2
35,'2026/06/17 14:41:26:272',3,24.394699,0,0,0,0,0,0,0,7.87147,5.050604,0.547049,2.608505,3.12849,3.745966,0,0,0.002271,0.8799,0,1.217467,0.215936,0,0,0,0,0,0,1.063062,0,0,2
36,'2026/06/17 14:41:26:334',3,24.154295,0,0,0,0,0,0,0,11.025813,5.01038,0.464833,5.1464,4.372036,3.319616,0.464577,0,2.636361,0,0,0,0,0,0,0,0,0,0,0.317686,0,0,2
37,'2026/06/17 14:41:26:363',3,20.520781,0,0,0,0,0,0,0,9.215204,2.416248,1.85706,2.038823,4.679379,1.578809,2.582622,0,3.353086,0,0,0,0,0,0,0,0,0,0.349907,0,0,0,2
38,'2026/06/17 14:41:26:411',3,25.925093,0,0,0,0,0,0,0,7.886794,0.661478,1.405459,3.84373,2.398758,2.218809,0.810917,0,3.500005,0,0.239098,0,0,0,0,0,0.717938,0,0,2.82043,0,0,2
39,'2026/06/17 14:41:26:460',3,0,0,0,0,0,0,0,1.060393,3.370236,2.237774,0,0,0,0.778505,0,0,0,0,0,0,0,0,0.598377,0.028045,0,0.9803,1.134769,1.04024,0,0,2
40,'2026/06/17 14:41:26:493',3,20.059221,0,0,1.590105,0,0,0,0,13.465148,0,4.418299,3.978313,0,1.440931,0,0,0,0,0,0.770038,0,0,0.010155,0,0,0,0.826643,2.055835,0,1.034426,2
41,'2026/06/17 14:41:26:555',3,31.869732,0,0,0,0,0,0,0,10.117491,0,0.707566,0,0.238261,0,3.851272,0,3.546584,0,0,0.140533,0,0,0,0,1.198153,0,0,2.439713,0,2.021132,2
